An error occurred: illegal san: 'hxg6' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with hxg6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rxh8' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with Rxh8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Bxh8' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with Bxh8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qc3' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with Qc3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Ne4' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with Ne4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qa3' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with Qa3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Ke8' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with Ke8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nac2' in rnbqk1nr/pppp2bp/6p1/4pp1P/2P5/4P3/PPQP1PP1/RNB1KBNR b KQkq - 1 5, unable to load chessboard with Nac2========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'c4' in rnbqk1nr/p1pp2bp/6p1/1P2pp1P/8/4P3/PPQP1PP1/RNB1KBNR b KQkq - 0 6, unable to load chessboard with c4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'd3' in rnbqk1nr/p1pp2bp/6p1/1P2pp1P/8/4P3/PPQP1PP1/RNB1KBNR b KQkq - 0 6, unable to load chessboard with d3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nc5' in rnbqk1nr/p1pp2bp/6p1/1P2pp1P/8/4P3/PPQP1PP1/RNB1KBNR b KQkq - 0 6, unable to load chessboard with Nc5========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'dxc4' in rnbqk1nr/p1pp2bp/6p1/1P2pp1P/8/4P3/PPQP1PP1/RNB1KBNR b KQkq - 0 6, unable to load chessboard with dxc4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nb6' in rnbqk1nr/p1pp2bp/6p1/1P2pp1P/8/4P3/PPQP1PP1/RNB1KBNR b KQkq - 0 6, unable to load chessboard with Nb6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'b3' in rnbqk1nr/p1pp2bp/6p1/1P2pp1P/8/4P3/PPQP1PP1/RNB1KBNR b KQkq - 0 6, unable to load chessboard with b3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nb4' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/8/4P3/PPQP1PP1/RNB1KBNR w KQkq - 0 7, unable to load chessboard with Nb4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'dxc4' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/8/4P3/PPQP1PP1/RNB1KBNR w KQkq - 0 7, unable to load chessboard with dxc4========== End of Environ.load_chessboard ==========


